onset	duration	sample	type	value	event
5.002	0	5003	STI101	5632	---
8.814	0	8815	STI101	1	Movie onset
8.814	0	8815	STI001	5	---
8.814	0	8815	Trigger	1	Movie onset
14.925	0	14926	STI101	6144	---
20.549	0	20550	STI101	1	Movie onset
20.549	0	20550	STI001	5	---
20.549	0	20550	Trigger	1	Movie onset
26.176	0	26177	STI101	6144	---
31.808	0	31809	STI101	1	Movie onset
31.808	0	31809	STI001	5	---
31.808	0	31809	Trigger	1	Movie onset
37.373	0	37374	STI101	5888	---
43.043	0	43044	STI101	1	Movie onset
43.043	0	43044	STI001	5	---
43.043	0	43044	Trigger	1	Movie onset
48.365	0	48366	STI101	5888	---
53.919	0	53920	STI101	1	Movie onset
53.919	0	53920	STI001	5	---
53.919	0	53920	Trigger	1	Movie onset
59.353	0	59354	STI101	5888	---
64.803	0	64804	STI101	1	Movie onset
64.803	0	64804	STI001	5	---
64.803	0	64804	Trigger	1	Movie onset
70.335	0	70336	STI101	5888	---
75.937	0	75938	STI101	1	Movie onset
75.937	0	75938	STI001	5	---
75.937	0	75938	Trigger	1	Movie onset
81.538	0	81539	STI101	5888	---
86.98	0	86981	STI101	1	Movie onset
86.98	0	86981	STI001	5	---
86.98	0	86981	Trigger	1	Movie onset
92.779	0	92780	STI101	5888	---
98.364	0	98365	STI101	1	Movie onset
98.364	0	98365	STI001	5	---
98.364	0	98365	Trigger	1	Movie onset
103.951	0	103952	STI101	5888	---
109.565	0	109566	STI101	1	Movie onset
109.565	0	109566	STI001	5	---
109.565	0	109566	Trigger	1	Movie onset
115.258	0	115259	STI101	5888	---
120.908	0	120909	STI101	1	Movie onset
120.908	0	120909	STI001	5	---
120.908	0	120909	Trigger	1	Movie onset
126.976	0	126977	STI101	5888	---
132.435	0	132436	STI101	1	Movie onset
132.435	0	132436	STI001	5	---
132.435	0	132436	Trigger	1	Movie onset
137.876	0	137877	STI101	5888	---
143.302	0	143303	STI101	1	Movie onset
143.302	0	143303	STI001	5	---
143.302	0	143303	Trigger	1	Movie onset
149.021	0	149022	STI101	5888	---
154.595	0	154596	STI101	1	Movie onset
154.595	0	154596	STI001	5	---
154.595	0	154596	Trigger	1	Movie onset
160.098	0	160099	STI101	5888	---
165.68	0	165681	STI101	1	Movie onset
165.68	0	165681	STI001	5	---
165.68	0	165681	Trigger	1	Movie onset
171.512	0	171513	STI101	5888	---
176.981	0	176982	STI101	1	Movie onset
176.981	0	176982	STI001	5	---
176.981	0	176982	Trigger	1	Movie onset
182.437	0	182438	STI101	5888	---
186.67	0	186671	STI101	5632	---
189.431	0	189432	STI101	5888	---
190.435	0	190436	STI101	6144	---
191.428	0	191429	STI101	6144	---
192.382	0	192383	STI101	5888	---
193.367	0	193368	STI101	6144	---
194.933	0	194934	STI101	6144	---
196.116	0	196117	STI101	5888	---
197.32	0	197321	STI101	5888	---
198.517	0	198518	STI101	5888	---
199.675	0	199676	STI101	6144	---
200.705	0	200706	STI101	5888	---
201.768	0	201769	STI101	6144	---
202.915	0	202916	STI101	5888	---
204.457	0	204458	STI101	5888	---
205.651	0	205652	STI101	6144	---
206.72	0	206721	STI101	5888	---
207.843	0	207844	STI101	6144	---
209.028	0	209029	STI101	6144	---
210.102	0	210103	STI101	5888	---
211.357	0	211358	STI101	6144	---
214.782	0	214783	STI101	5632	---
221.299	0	221300	STI101	5632	---
222.953	0	222954	STI101	2	Cue onset
222.953	0	222954	STI002	5	---
222.953	0	222954	Trigger	2	Cue onset
229.009	0	229010	STI101	5888	---
229.01	0	229011	STI101	5892	---
229.01	0	229011	STI003	5	---
229.01	0	229011	Trigger	4	Sound1 onset
234.949	0	234950	STI101	6144	---
234.95	0	234951	STI101	6152	---
234.95	0	234951	STI004	5	---
234.95	0	234951	Trigger	8	Sound2 onset
240.066	0	240067	STI101	16	Probe response
240.066	0	240067	STI005	5	---
240.066	0	240067	Trigger	16	Probe response
